date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:58:15	454863/454863	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22a14b9a3c172c2615b0ad6493d9f5b25e%22	https://nft-tailwind.preview.uideck.com/images/auctions/image-04.svg	/home/bsoft/websites/test/nft-tailwind.preview.uideck.com/images/auctions/image-04.svg	(from https://nft-tailwind.preview.uideck.com/)
05:58:18	2618/2618	---M--	200	added ('OK')	image/png	etag:%22810070c43d148d9c4f290f1967008519%22	https://nft-tailwind.preview.uideck.com/images/auctions/creator-04.png	/home/bsoft/websites/test/nft-tailwind.preview.uideck.com/images/auctions/creator-04.png	(from https://nft-tailwind.preview.uideck.com/)
05:58:18	882459/882459	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22714c190458884323230957280e7c1f3f%22	https://nft-tailwind.preview.uideck.com/images/picks/image-01.svg	/home/bsoft/websites/test/nft-tailwind.preview.uideck.com/images/picks/image-01.svg	(from https://nft-tailwind.preview.uideck.com/)
05:58:19	2559/2559	---M--	200	added ('OK')	image/png	etag:%2252470600976ec8dc041c3f38b18ae464%22	https://nft-tailwind.preview.uideck.com/images/picks/creator-01.png	/home/bsoft/websites/test/nft-tailwind.preview.uideck.com/images/picks/creator-01.png	(from https://nft-tailwind.preview.uideck.com/)
05:58:21	555519/555519	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2203f211e7db31b21552411bcd15f94051%22	https://nft-tailwind.preview.uideck.com/images/picks/image-02.svg	/home/bsoft/websites/test/nft-tailwind.preview.uideck.com/images/picks/image-02.svg	(from https://nft-tailwind.preview.uideck.com/)
05:58:21	2371/2371	---M--	200	added ('OK')	image/png	etag:%2268119b1e296767fb97047b01589ec766%22	https://nft-tailwind.preview.uideck.com/images/picks/creator-02.png	/home/bsoft/websites/test/nft-tailwind.preview.uideck.com/images/picks/creator-02.png	(from https://nft-tailwind.preview.uideck.com/)
05:58:23	839387/839387	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2295240f1adbf6fd3e7e46ad5fa7f5d14e%22	https://nft-tailwind.preview.uideck.com/images/picks/image-03.svg	/home/bsoft/websites/test/nft-tailwind.preview.uideck.com/images/picks/image-03.svg	(from https://nft-tailwind.preview.uideck.com/)
05:58:23	2784/2784	---M--	200	added ('OK')	image/png	etag:%2277284cfa947439d5fff6f70d293cffb8%22	https://nft-tailwind.preview.uideck.com/images/picks/creator-03.png	/home/bsoft/websites/test/nft-tailwind.preview.uideck.com/images/picks/creator-03.png	(from https://nft-tailwind.preview.uideck.com/)
05:58:25	725923/725923	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22f340fab9f621a8cd59e0768f7bb1c30d%22	https://nft-tailwind.preview.uideck.com/images/picks/image-04.svg	/home/bsoft/websites/test/nft-tailwind.preview.uideck.com/images/picks/image-04.svg	(from https://nft-tailwind.preview.uideck.com/)
05:58:25	2854/2854	---M--	200	added ('OK')	image/png	etag:%22bdd00da1c15319657e54d3c13bfdccdb%22	https://nft-tailwind.preview.uideck.com/images/picks/creator-04.png	/home/bsoft/websites/test/nft-tailwind.preview.uideck.com/images/picks/creator-04.png	(from https://nft-tailwind.preview.uideck.com/)
05:58:27	602791/602791	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2254d2c778c6d1279aa935abce2b35f63d%22	https://nft-tailwind.preview.uideck.com/images/picks/image-05.svg	/home/bsoft/websites/test/nft-tailwind.preview.uideck.com/images/picks/image-05.svg	(from https://nft-tailwind.preview.uideck.com/)
05:58:27	2835/2835	---M--	200	added ('OK')	image/png	etag:%226d69621ec58308adc54c481ca80eda4a%22	https://nft-tailwind.preview.uideck.com/images/picks/creator-05.png	/home/bsoft/websites/test/nft-tailwind.preview.uideck.com/images/picks/creator-05.png	(from https://nft-tailwind.preview.uideck.com/)
05:58:29	817863/817863	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22b5dfa04558d3213d7a7e0a1779fbada5%22	https://nft-tailwind.preview.uideck.com/images/picks/image-06.svg	/home/bsoft/websites/test/nft-tailwind.preview.uideck.com/images/picks/image-06.svg	(from https://nft-tailwind.preview.uideck.com/)
05:58:29	2559/2559	---M--	200	added ('OK')	image/png	etag:%2252470600976ec8dc041c3f38b18ae464%22	https://nft-tailwind.preview.uideck.com/images/picks/creator-06.png	/home/bsoft/websites/test/nft-tailwind.preview.uideck.com/images/picks/creator-06.png	(from https://nft-tailwind.preview.uideck.com/)
05:58:31	584575/584575	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22e418a745b0a5162109cbe521e163fdd4%22	https://nft-tailwind.preview.uideck.com/images/picks/image-07.svg	/home/bsoft/websites/test/nft-tailwind.preview.uideck.com/images/picks/image-07.svg	(from https://nft-tailwind.preview.uideck.com/)
05:58:31	2515/2515	---M--	200	added ('OK')	image/png	etag:%223b0e1c6e32a200bf47ba393a14f774e2%22	https://nft-tailwind.preview.uideck.com/images/picks/creator-07.png	/home/bsoft/websites/test/nft-tailwind.preview.uideck.com/images/picks/creator-07.png	(from https://nft-tailwind.preview.uideck.com/)
